field_file,label,coverage_type,shape,noisy,pipe_type
sample_00095_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00096_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00097_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00098_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00099_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00100_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00101_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00102_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00103_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00104_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00105_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00106_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00107_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00108_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00109_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00110_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00111_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00112_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00113_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00114_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00115_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00116_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00117_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00118_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00119_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00120_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00121_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00122_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00123_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00124_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00125_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00126_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00127_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00128_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00129_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00130_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00131_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00132_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00133_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00134_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00135_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00136_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00137_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00138_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00139_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00140_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00141_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00142_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00143_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00144_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00145_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00146_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00147_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00148_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00149_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00150_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00151_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00152_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00153_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00154_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00155_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00156_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00157_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00158_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00159_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00160_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00161_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00162_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00163_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00164_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00165_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00166_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00167_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00168_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00169_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00170_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00171_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00172_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00173_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00174_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00175_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00176_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00177_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00178_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00179_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00180_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00181_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00182_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00183_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00184_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00185_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00186_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00187_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00188_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00189_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00190_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00191_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00192_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00193_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00194_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00195_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00196_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00197_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00198_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00199_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00200_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00201_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00202_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00203_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00204_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00205_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00206_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00207_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00208_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00209_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00210_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00211_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00212_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00213_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00214_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00215_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00216_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00217_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00218_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00219_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00220_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00221_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00222_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00223_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00224_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00225_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00226_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00227_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00228_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00229_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00230_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00231_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00232_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00233_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00234_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00235_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00236_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00237_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00238_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00239_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00240_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00241_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00242_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00243_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00244_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00245_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00246_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00247_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00248_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00249_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00250_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00251_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00252_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00253_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00254_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00255_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00256_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00257_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00258_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00259_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00260_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00261_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00262_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00263_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00264_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00265_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00266_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00267_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00268_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00269_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00270_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00271_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00272_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00273_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00274_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00275_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00276_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00277_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00278_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00279_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00280_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00281_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00282_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00283_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00284_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00285_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00286_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00287_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00288_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00289_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00290_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00291_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00292_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00293_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00294_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00295_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00296_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00297_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00298_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00299_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00300_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00301_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00302_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00303_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00304_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00305_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00306_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00307_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00308_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00309_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00310_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00311_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00312_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00313_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00314_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00315_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00316_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00317_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00318_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00319_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00320_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00321_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00322_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00323_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00324_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00325_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00326_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00327_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00328_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00329_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00330_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00331_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00332_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00333_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00334_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00335_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00336_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00337_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00338_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00339_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00340_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00341_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00342_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00343_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00344_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00345_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00346_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00347_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00348_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00349_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00350_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00351_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00352_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00353_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00354_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00355_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00356_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00357_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00358_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00359_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00360_perfect_curved_clean_field.npz,1,perfect,curved,False,single
sample_00361_perfect_curved_clean_field.npz,1,perfect,curved,False,single
sample_00362_perfect_curved_clean_field.npz,1,perfect,curved,False,single
sample_00363_perfect_curved_clean_field.npz,1,perfect,curved,False,single
sample_00364_perfect_curved_clean_field.npz,1,perfect,curved,False,single
sample_00365_perfect_curved_clean_field.npz,1,perfect,curved,False,single
sample_00366_perfect_curved_clean_field.npz,1,perfect,curved,False,single
sample_00367_perfect_curved_clean_field.npz,1,perfect,curved,False,single
sample_00368_perfect_curved_clean_field.npz,1,perfect,curved,False,single
sample_00369_perfect_curved_clean_field.npz,1,perfect,curved,False,single
sample_00370_perfect_curved_clean_field.npz,1,perfect,curved,False,single
sample_00371_perfect_curved_clean_field.npz,1,perfect,curved,False,single
sample_00372_perfect_curved_clean_field.npz,1,perfect,curved,False,single
sample_00373_perfect_curved_clean_field.npz,1,perfect,curved,False,single
sample_00374_perfect_curved_clean_field.npz,1,perfect,curved,False,single
sample_00375_perfect_curved_clean_field.npz,1,perfect,curved,False,single
sample_00376_perfect_curved_clean_field.npz,1,perfect,curved,False,single
sample_00377_perfect_curved_clean_field.npz,1,perfect,curved,False,single
sample_00378_perfect_curved_clean_field.npz,1,perfect,curved,False,single
sample_00379_perfect_curved_clean_field.npz,1,perfect,curved,False,single
sample_00380_perfect_curved_clean_field.npz,1,perfect,curved,False,single
sample_00381_perfect_curved_clean_field.npz,1,perfect,curved,False,single
sample_00382_perfect_curved_clean_field.npz,1,perfect,curved,False,single
sample_00383_perfect_curved_clean_field.npz,1,perfect,curved,False,single
sample_00384_perfect_curved_clean_field.npz,1,perfect,curved,False,single
sample_00385_perfect_curved_clean_field.npz,1,perfect,curved,False,single
sample_00386_perfect_curved_clean_field.npz,1,perfect,curved,False,single
sample_00387_perfect_curved_clean_field.npz,1,perfect,curved,False,single
sample_00388_perfect_curved_clean_field.npz,1,perfect,curved,False,single
sample_00389_perfect_curved_clean_field.npz,1,perfect,curved,False,single
sample_00390_perfect_curved_clean_field.npz,1,perfect,curved,False,single
sample_00391_perfect_curved_clean_field.npz,1,perfect,curved,False,single
sample_00392_perfect_curved_clean_field.npz,1,perfect,curved,False,single
sample_00393_perfect_curved_clean_field.npz,1,perfect,curved,False,single
sample_00394_perfect_curved_clean_field.npz,1,perfect,curved,False,single
sample_00395_perfect_curved_clean_field.npz,1,perfect,curved,False,single
sample_00396_perfect_curved_clean_field.npz,1,perfect,curved,False,single
sample_00397_perfect_curved_clean_field.npz,1,perfect,curved,False,single
sample_00398_perfect_curved_clean_field.npz,1,perfect,curved,False,single
sample_00399_perfect_curved_clean_field.npz,1,perfect,curved,False,single
sample_00400_perfect_curved_clean_field.npz,1,perfect,curved,False,single
sample_00401_perfect_curved_clean_field.npz,1,perfect,curved,False,single
sample_00402_perfect_curved_clean_field.npz,1,perfect,curved,False,single
sample_00403_perfect_curved_clean_field.npz,1,perfect,curved,False,single
sample_00404_perfect_curved_clean_field.npz,1,perfect,curved,False,single
sample_00405_perfect_curved_clean_field.npz,1,perfect,curved,False,single
sample_00406_perfect_curved_clean_field.npz,1,perfect,curved,False,single
sample_00407_perfect_curved_clean_field.npz,1,perfect,curved,False,single
sample_00408_perfect_curved_clean_field.npz,1,perfect,curved,False,single
sample_00409_perfect_curved_clean_field.npz,1,perfect,curved,False,single
